id,title,prize,hackathon,location,track,award,date,projectRef,tagline,techStack,description,images
win-11,GAJA,"₹10,000 Cash Prize",IEEE RVCE SPS Hackathon,"Bengaluru, India",IEEE,WINNERS,2025,gaja-signal,Signal processing & telemetry relay for autonomous drones.,DSP;MATLAB;Python;Wireless Telemetry,Developed advanced signal processing algorithms for GAJA UAV flight stability and low-latency RF control.,/images/wins/win-11/img-1.jpg;/images/wins/win-11/img-2.jpg;/images/wins/win-11/img-3.jpg;/images/wins/win-11/img-4.jpg;/images/wins/win-11/img-5.jpg;/images/wins/win-11/img-6.jpg
win-12,Darshan Glasses,"₹2,000 Cash Prize",Tamil Nadu State Innovation Hackathon,"Tamil Nadu, India",ecell,WINNERS,2025,darshan-tn,Portable computer vision assistive system for rural mobility.,Raspberry Pi;TensorFlow Lite;OpenCV,Deployed a lightweight version of Darshan Glasses optimized for low-power edge vision processing.,
win-13,SalesCall AI Agent,"₹10,000 Cash Prize",BTI Ignite Foundation Hackfinity Hackathon,"Bengaluru, India",ecell,1ST PLACE,2025,sales-call-ai,Automated sales agent with seamless CRM lead handover.,Voice AI;WebRTC;Node.js;PostgreSQL,"Built an autonomous AI calling agent for outbound sales qualifying, scheduling, and automatic CRM handoff.",/images/wins/win-13/img-1.png;/images/wins/win-13/img-2.jpg;/images/wins/win-13/img-3.jpg;/images/wins/win-13/img-4.png;/images/wins/win-13/img-5.jpg;/images/wins/win-13/img-6.jpg
win-14,VAANI,Offered Incubation,IISc X TATA Steel MSME 4.0 Hackathon,"Bengaluru, India",IISc,WINNERS,2025,vaani-industrial,Voice-driven telemetry & machine diagnostics for MSMEs.,Speech Recognition;Industrial IoT;Python,"Created VAANI, a voice-controlled machine diagnostics & operational monitoring agent for industrial MSME shopfloors.",/images/wins/win-14/img-1.png;/images/wins/win-14/img-2.png;/images/wins/win-14/img-3.png
win-15,GAJA,₹15 Lakh Grant to Develop Idea,MSME 5.0 Hackathon,India,MSME,GRAND PRIZE,2025,gaja-msme,Autonomous aerial inspection & logistics for manufacturing units.,Drone Tech;Edge Compute;IoT,Adapted GAJA UAV platform for MSME facility inspection and local automated payload logistics.,
win-16,Airavatha,"₹5,000 Cash Prize",Ai Brewery Vibe Coding Hackathon,"Bengaluru, India",ecell,WINNERS,2025,airavatha-ai,High-velocity LLM pipeline code generation framework.,LLM;Python;TypeScript;Vite,"Created Airavatha, a high-speed code synthesis and pipeline execution framework for rapid prototyping.",/images/wins/win-16/img-1.webp;/images/wins/win-16/img-2.jpg;/images/wins/win-16/img-3.jpg;/images/wins/win-16/img-4.webp;/images/wins/win-16/img-5.webp;/images/wins/win-16/img-6.jpg
win-17,Darshan Glasses,"₹25,000 Cash Prize",UST Sight 2.0 Project Presentation,"Bengaluru, India",ecell,BEST INNOVATION,2025,darshan-ust,Wearable spatial awareness system for visually impaired.,Computer Vision;Embedded AI;Hardware,"Presented Darshan Glasses, winning Best Innovation award for social impact and real-time edge processing.",/images/wins/win-17/img-1.jpg;/images/wins/win-17/img-2.jpg;/images/wins/win-17/img-3.jpg;/images/wins/win-17/img-4.jpg;/images/wins/win-17/img-5.jpg;/images/wins/win-17/img-6.jpg
win-18,Posture Correction,"₹3,000 Cash Prize",Lion Circuits X PCB Cupid Hardware Hackathon 1.0,"Bengaluru, India",ecell,1ST PLACE,2025,posture-correct,IoT bio-feedback sensor wearable for spinal ergonomics.,PCB Design;BLE;Microcontrollers;C++,Designed and etched custom PCB wearable with real-time IMU bio-feedback for posture tracking.,/images/wins/win-18/img-1.jpg;/images/wins/win-18/img-2.png;/images/wins/win-18/img-3.jpg;/images/wins/win-18/img-4.jpg;/images/wins/win-18/img-5.jpg;/images/wins/win-18/img-6.jpg
win-19,Darshan Glasses,"₹10,000 Cash Prize",AIT Project Presentation,"Bengaluru, India",ecell,BEST PROJECT,2025,darshan-ait,Real-time assistive AI hardware architecture.,Edge AI;Embedded Systems;Sensors,Awarded Best Project for hardware architecture and optical sensor integration in Darshan Glasses.,/images/wins/win-19/img-1.png;/images/wins/win-19/img-2.png;/images/wins/win-19/img-3.png
win-20,GAJA,AICTE National Fellowship,AICTE Fellowship,India,ecell,FELLOWSHIP,2025,gaja-aicte,National research fellowship for autonomous aerial robotics.,Aerial Robotics;AI;Autonomous Systems,Secured prestigious AICTE Fellowship to further expand research and deployment of GAJA autonomous drone systems.,/images/wins/win-20/img-1.jpg;/images/wins/win-20/img-2.jpg;/images/wins/win-20/img-3.jpg;/images/wins/win-20/img-4.jpg;/images/wins/win-20/img-5.jpg;/images/wins/win-20/img-6.jpg
